location_code,measurement_time,bicycle_count
PUT04_057A_P,2022-08-08 16:00:00,519
PUT04_057A_P,2022-08-08 17:00:00,747
PUT04_057A_P,2022-08-08 18:00:00,547
PUT04_057A_P,2022-08-08 19:00:00,422
PUT04_057A_P,2022-08-08 20:00:00,308
PUT04_057A_P,2022-08-08 21:00:00,309
PUT04_057A_P,2022-08-08 22:00:00,178
PUT04_057A_P,2022-08-08 23:00:00,127
PUT04_057A_P,2022-08-09 00:00:00,97
PUT04_057A_P,2022-08-09 01:00:00,62
PUT04_057A_P,2022-08-09 02:00:00,56
PUT04_057A_P,2022-08-09 03:00:00,30
PUT04_057A_P,2022-08-09 04:00:00,19
PUT04_057A_P,2022-08-09 05:00:00,52
PUT04_057A_P,2022-08-09 06:00:00,81
PUT04_057A_P,2022-08-09 07:00:00,230
PUT04_057A_P,2022-08-09 08:00:00,380
PUT04_057A_P,2022-08-09 09:00:00,246
PUT04_057A_P,2022-08-09 10:00:00,244
PUT04_057A_P,2022-08-09 11:00:00,340
PUT04_057A_P,2022-08-09 12:00:00,378
PUT04_057A_P,2022-08-09 13:00:00,403
PUT04_057A_P,2022-08-09 14:00:00,378
PUT04_057A_P,2022-08-09 15:00:00,418
PUT04_057A_P,2022-08-09 16:00:00,538
PUT04_057A_P,2022-08-09 17:00:00,764
PUT04_057A_P,2022-08-09 18:00:00,579
PUT04_057A_P,2022-08-09 19:00:00,416
PUT04_057A_P,2022-08-09 20:00:00,367
PUT04_057A_P,2022-08-09 21:00:00,296
PUT04_057A_P,2022-08-09 22:00:00,271
PUT04_057A_P,2022-08-09 23:00:00,243
PUT04_057A_P,2022-08-10 00:00:00,130
PUT04_057A_P,2022-08-10 01:00:00,82
PUT04_057A_P,2022-08-10 02:00:00,91
